actor_id,name,:LABEL
1,50 Cent,Actor
2,A Martinez,Actor
3,A. Michael Baldwin,Actor
4,Aaron Eckhart,Actor
5,Aaron Paul,Actor
6,Aaron Stanford,Actor
7,Abbie Cornish,Actor
8,Abby Dalton,Actor
9,Abhay Deol,Actor
10,Abraham Sofaer,Actor
11,Adam Baldwin,Actor
12,Adam Beach,Actor
13,Adam Hann-Byrd,Actor
14,Adam Lavorgna,Actor
15,Adam Roarke,Actor
16,Adam Sandler,Actor
17,Adam Storke,Actor
18,Adam Trese,Actor
19,Adam West,Actor
20,Addison Richards,Actor
21,Adele Mara,Actor
22,Aden Young,Actor
23,Adewale Akinnuoye-Agbaje,Actor
24,Adolfo Celi,Actor
25,Adolphe Menjou,Actor
26,Adrian Dunbar,Actor
27,Adrian Pasdar,Actor
28,Adrian Zmed,Actor
29,Adrien Brody,Actor
30,Adrienne Barbeau,Actor
31,Adrienne Corri,Actor
32,Adrienne King,Actor
33,Adrienne Shelly,Actor
34,Agatha Hurle,Actor
35,Agathe Natanson,Actor
36,Agga Olsen,Actor
37,Agnes Bruckner,Actor
38,Agnes Moorehead,Actor
39,Aidan Gould,Actor
40,Aidan Quinn,Actor
41,Aitana Sánchez-Gijón,Actor
42,Akbar Kurtha,Actor
43,Ake Nyman,Actor
44,Akiko Wakabayashi,Actor
45,Akim Tamiroff,Actor
46,Akosua Busia,Actor
47,Aksel Hennie,Actor
48,Al Freeman Jr.,Actor
49,Al Jolson,Actor
50,Al Pacino,Actor
51,Alain Delon,Actor
52,Alan Alda,Actor
53,Alan Arkin,Actor
54,Alan Badel,Actor
55,Alan Bates,Actor
56,Alan Baxter,Actor
57,Alan Cox,Actor
58,Alan Cumming,Actor
59,Alan Curtis,Actor
60,Alan David,Actor
61,Alan Fisler,Actor
62,Alan Hale,Actor
63,Alan King,Actor
64,Alan Ladd,Actor
65,Alan Marshall,Actor
66,Alan Mowbray,Actor
67,Alan Napier,Actor
68,Alan Randolph Scott,Actor
69,Alan Rickman,Actor
70,Alan Ruck,Actor
71,Alan Webb,Actor
72,Alan Young,Actor
73,Alastair Sim,Actor
74,Albert Brooks,Actor
75,Albert Dekker,Actor
76,Albert Finney,Actor
77,Albert Hall,Actor
78,Alberta Watson,Actor
79,Alberto De Mendoza,Actor
80,Alberto Morin,Actor
81,Aldo Giuffrè,Actor
82,Aldo Ray,Actor
83,Alec Baldwin,Actor
84,Alec Cawthorne,Actor
85,Alec Clunes,Actor
86,Alec Guinness,Actor
87,Alec McCowen,Actor
88,Alex D. Linz,Actor
89,Alex Daniels,Actor
90,Alex Haw,Actor
91,Alex Hyde-White,Actor
92,Alex McArthur,Actor
93,Alex Scott,Actor
94,Alex Vincent,Actor
95,Alexa Davalos,Actor
96,Alexa Vega,Actor
97,Alexander Fehling,Actor
98,Alexander Godunov,Actor
99,Alexander Goodwin,Actor
100,Alexander Knox,Actor
101,Alexander Morton,Actor
102,Alexandra Holden,Actor
103,Alexia Keogh,Actor
104,Alexis Arquette,Actor
105,Alexis Cruz,Actor
106,Alexis Smith,Actor
107,Alexis Zegerman,Actor
108,Alfred Molina,Actor
109,Alfred Ryder,Actor
110,Ali MacGraw,Actor
111,Alice Cooper,Actor
112,Alice Krige,Actor
113,Alicia Silverstone,Actor
114,Alicia Witt,Actor
115,Alida Valli,Actor
116,Aline MacMahon,Actor
117,Alisan Porter,Actor
118,Alison Doody,Actor
119,Alison Eastwood,Actor
120,Alison Folland,Actor
121,Alison Leggatt,Actor
122,Alison Routledge,Actor
123,Alison Selford,Actor
124,Alison Whelan,Actor
125,Allan Jones,Actor
126,Allan Melvin,Actor
127,Allen Covert,Actor
128,Allen Danziger,Actor
129,Allen Garfield,Actor
130,Allen Jenkins,Actor
131,Allen Payne,Actor
132,Allison Balson,Actor
133,Allison Janney,Actor
134,Ally Sheedy,Actor
135,Ally Walker,Actor
136,Alphonsia Emmanuel,Actor
137,Alun Armstrong,Actor
138,Alyson Hannigan,Actor
139,Alyson Reed,Actor
140,Amanda Barrie,Actor
141,Amanda Bearse,Actor
