movie_id,actor_id,:TYPE
1,3165,ACTED_IN
1,644,ACTED_IN
1,1753,ACTED_IN
1,3768,ACTED_IN
2,4666,ACTED_IN
2,4094,ACTED_IN
2,1560,ACTED_IN
2,3489,ACTED_IN
3,2739,ACTED_IN
3,247,ACTED_IN
3,4606,ACTED_IN
3,4870,ACTED_IN
4,2493,ACTED_IN
4,3623,ACTED_IN
4,38,ACTED_IN
4,4194,ACTED_IN
5,4292,ACTED_IN
5,3120,ACTED_IN
5,3955,ACTED_IN
5,3271,ACTED_IN
6,573,ACTED_IN
6,3449,ACTED_IN
6,1559,ACTED_IN
6,1880,ACTED_IN
7,3205,ACTED_IN
7,3185,ACTED_IN
7,4035,ACTED_IN
7,2835,ACTED_IN
8,854,ACTED_IN
8,3477,ACTED_IN
8,1572,ACTED_IN
8,3961,ACTED_IN
9,509,ACTED_IN
9,573,ACTED_IN
9,3061,ACTED_IN
9,802,ACTED_IN
10,854,ACTED_IN
10,1572,ACTED_IN
10,1258,ACTED_IN
10,4285,ACTED_IN
11,2474,ACTED_IN
11,4029,ACTED_IN
11,2635,ACTED_IN
11,1880,ACTED_IN
12,1300,ACTED_IN
12,1294,ACTED_IN
12,440,ACTED_IN
12,335,ACTED_IN
13,1946,ACTED_IN
13,1658,ACTED_IN
13,247,ACTED_IN
13,3823,ACTED_IN
14,1417,ACTED_IN
14,2567,ACTED_IN
14,166,ACTED_IN
14,1735,ACTED_IN
15,1753,ACTED_IN
15,4186,ACTED_IN
15,4301,ACTED_IN
15,1298,ACTED_IN
16,1753,ACTED_IN
16,2599,ACTED_IN
16,3698,ACTED_IN
16,4133,ACTED_IN
17,1753,ACTED_IN
17,2621,ACTED_IN
17,2472,ACTED_IN
17,148,ACTED_IN
18,2170,ACTED_IN
18,3677,ACTED_IN
18,914,ACTED_IN
18,2209,ACTED_IN
19,1753,ACTED_IN
19,4296,ACTED_IN
19,1086,ACTED_IN
19,118,ACTED_IN
20,1268,ACTED_IN
20,2531,ACTED_IN
20,2325,ACTED_IN
20,2962,ACTED_IN
21,2028,ACTED_IN
21,2856,ACTED_IN
21,397,ACTED_IN
21,309,ACTED_IN
22,573,ACTED_IN
22,469,ACTED_IN
22,392,ACTED_IN
22,2973,ACTED_IN
23,1268,ACTED_IN
23,2531,ACTED_IN
23,2325,ACTED_IN
23,2594,ACTED_IN
24,2136,ACTED_IN
24,562,ACTED_IN
24,1051,ACTED_IN
24,812,ACTED_IN
25,4181,ACTED_IN
25,2287,ACTED_IN
25,872,ACTED_IN
25,3604,ACTED_IN
26,4029,ACTED_IN
26,2290,ACTED_IN
26,74,ACTED_IN
26,1773,ACTED_IN
27,3350,ACTED_IN
27,798,ACTED_IN
27,2846,ACTED_IN
27,905,ACTED_IN
28,294,ACTED_IN
28,623,ACTED_IN
28,1353,ACTED_IN
28,453,ACTED_IN
29,50,ACTED_IN
29,4471,ACTED_IN
29,3414,ACTED_IN
29,3217,ACTED_IN
30,2551,ACTED_IN
30,3959,ACTED_IN
30,2084,ACTED_IN
30,3859,ACTED_IN
31,2136,ACTED_IN
31,2362,ACTED_IN
31,4454,ACTED_IN
31,2558,ACTED_IN
32,2724,ACTED_IN
32,4296,ACTED_IN
32,4029,ACTED_IN
32,185,ACTED_IN
33,1270,ACTED_IN
33,2864,ACTED_IN
33,3597,ACTED_IN
33,4145,ACTED_IN
34,460,ACTED_IN
34,163,ACTED_IN
34,754,ACTED_IN
34,4448,ACTED_IN
35,389,ACTED_IN
35,1796,ACTED_IN
35,1028,ACTED_IN
35,1241,ACTED_IN
36,2909,ACTED_IN
36,293,ACTED_IN
36,2446,ACTED_IN
36,3020,ACTED_IN
37,1372,ACTED_IN
37,4427,ACTED_IN
37,2658,ACTED_IN
37,2128,ACTED_IN
38,3552,ACTED_IN
38,1268,ACTED_IN
38,248,ACTED_IN
38,1495,ACTED_IN
39,4929,ACTED_IN
39,2887,ACTED_IN
39,1612,ACTED_IN
39,1997,ACTED_IN
40,4929,ACTED_IN
40,2887,ACTED_IN
40,1057,ACTED_IN
40,1997,ACTED_IN
41,4929,ACTED_IN
41,2887,ACTED_IN
41,1057,ACTED_IN
41,1997,ACTED_IN
42,1589,ACTED_IN
42,509,ACTED_IN
42,3245,ACTED_IN
42,185,ACTED_IN
43,2449,ACTED_IN
43,4941,ACTED_IN
43,1138,ACTED_IN
43,53,ACTED_IN
44,324,ACTED_IN
44,1608,ACTED_IN
44,3660,ACTED_IN
44,584,ACTED_IN
45,3350,ACTED_IN
45,798,ACTED_IN
46,4929,ACTED_IN
46,2887,ACTED_IN
46,1057,ACTED_IN
46,1997,ACTED_IN
47,2735,ACTED_IN
47,971,ACTED_IN
47,1550,ACTED_IN
47,4175,ACTED_IN
48,4929,ACTED_IN
48,2887,ACTED_IN
48,1057,ACTED_IN
48,1997,ACTED_IN
49,4929,ACTED_IN
49,2887,ACTED_IN
49,1057,ACTED_IN
49,1997,ACTED_IN
50,2136,ACTED_IN
50,4093,ACTED_IN
50,3307,ACTED_IN
50,143,ACTED_IN
51,2979,ACTED_IN
51,1469,ACTED_IN
51,4518,ACTED_IN
51,2136,ACTED_IN
52,384,ACTED_IN
52,1516,ACTED_IN
52,775,ACTED_IN
52,2183,ACTED_IN
53,3637,ACTED_IN
53,4241,ACTED_IN
53,4029,ACTED_IN
53,3356,ACTED_IN
54,3079,ACTED_IN
54,3673,ACTED_IN
54,31,ACTED_IN
54,3321,ACTED_IN
55,3676,ACTED_IN
55,2467,ACTED_IN
55,528,ACTED_IN
55,2845,ACTED_IN
56,3456,ACTED_IN
56,2659,ACTED_IN
56,1824,ACTED_IN
56,711,ACTED_IN
57,3293,ACTED_IN
57,665,ACTED_IN
57,4398,ACTED_IN
57,3674,ACTED_IN
58,635,ACTED_IN
58,1930,ACTED_IN
58,4071,ACTED_IN
58,1457,ACTED_IN
59,3676,ACTED_IN
59,2467,ACTED_IN
59,528,ACTED_IN
59,2845,ACTED_IN
60,3676,ACTED_IN
60,2467,ACTED_IN
60,528,ACTED_IN
60,2845,ACTED_IN
61,1773,ACTED_IN
61,4029,ACTED_IN
61,1038,ACTED_IN
61,155,ACTED_IN
62,4093,ACTED_IN
62,1417,ACTED_IN
62,4069,ACTED_IN
62,1546,ACTED_IN
63,651,ACTED_IN
63,2504,ACTED_IN
63,2108,ACTED_IN
63,3888,ACTED_IN
64,651,ACTED_IN
64,1430,ACTED_IN
64,2015,ACTED_IN
64,2225,ACTED_IN
65,294,ACTED_IN
65,3323,ACTED_IN
65,2936,ACTED_IN
65,3728,ACTED_IN
66,2569,ACTED_IN
66,1995,ACTED_IN
66,3888,ACTED_IN
66,3943,ACTED_IN
67,1995,ACTED_IN
